i,j,prediction
4,11,4.265546657738038e-06
4,12,0.00012326665378193437
4,13,0.056529011177932166
4,14,0.002740402122322633
4,15,0.146984248602871
4,16,0.0006351027325306635
4,17,0.052521314752310366
4,18,0.0014059810604534948
4,19,1.9007641470903277e-30
4,20,2.5519390441336084e-07
4,21,5.8864926823933695e-06
4,22,5.353354474889636e-06
4,23,2.0219796203772007e-10
4,24,6.201671760816332e-09
4,25,6.024834619769025e-18
4,26,5.220424176181176e-13
4,27,2.8916203805402994e-12
4,28,0.005184298725203525
4,29,0.003995063671639388
4,30,0.0035016940375065236
4,31,4.956500597732794e-07
4,32,0.0005898233031918361
4,33,0.35849771760163784
4,34,0.06473370972189808
4,35,1.5832698183003235e-13
4,36,1.0147989635841905e-11
4,37,0.0020501642671135922
4,38,6.029050489540048e-05
4,39,0.05270554666898075
5,0,0.004545703247616739
5,1,0.04600907149347627
5,2,4.496252102790691e-07
5,3,0.019435912529296995
5,4,0.02741497409786042
5,5,0.04159620503322363
5,6,0.1772050124664635
5,7,0.06146781274423751
5,8,0.0003980607686315313
5,9,0.0023840061198305844
5,10,0.0075452792522402055
5,11,0.03054043065508499
5,12,0.0010974853805915488
5,13,1.7491720522161603e-09
5,14,0.01476013848863085
5,15,0.0281596261145314
5,16,0.028879287382820862
5,17,0.0002511287539164606
5,18,1.0486514781203391e-07
5,19,3.5268268167636993e-08
5,20,8.314081399161538e-19
5,21,0.00013343687106753352
5,22,0.02849017442019234
5,23,0.015521775135382896
5,24,0.005658303890748316
5,25,5.076866617919133e-07
5,26,8.137379654150746e-05
5,27,5.225059518381031e-38
5,28,0.020814800588651986
5,29,6.649111372166848e-08
5,30,0.008026069461416483
5,31,0.023370608027079645
5,32,0.04441906012151977
5,33,0.033964478417009336
5,34,0.04897938575827717
5,35,0.004175319354609043
5,36,1.307267779081451e-09
5,37,9.329508280438371e-10
5,38,0.015210130278816786
5,39,0.0740954482960145
6,0,0.0021514731310662656
6,1,0.14901065751581635
6,2,0.02347372791162222
6,3,0.0009101303484987448
6,4,1.8022353225863252e-09
6,5,0.028208506163540023
6,6,0.1258286153036588
6,7,0.021898149993022434
6,8,0.028138519060949062
6,9,5.037427554381134e-10
6,10,0.0023228129286794394
6,11,0.001974275013881433
6,12,6.996879765726838e-06
6,13,0.04245966867000256
6,14,0.004040882694198348
6,15,0.027094084431594317
6,16,0.0020425420443451847
6,17,0.00029098658604444477
6,18,9.200951412589528e-06
6,19,0.03418045523683007
6,20,1.716616187745262e-13
6,21,0.008022295273999737
6,22,0.004685118842230653
6,23,5.086933646367341e-07
6,24,5.075014352822689e-06
6,25,8.414824274065805e-10
6,26,0.0020954832324582857
6,27,0.0010111342391536991
6,28,0.048636834005311144
6,29,0.012516173852961691
6,30,0.027736322149264362
6,31,4.009045796684659e-10
6,32,0.0022199963727144016
6,33,0.015459385032472267
6,34,0.0200516853201797
6,35,5.714323714956981e-06
6,36,1.8913528862615416e-23
6,37,2.8535668528229315e-13
6,38,1.7226358844487721e-12
6,39,0.021538889107054097
7,0,0.021452257325061702
7,1,0.07001961824793053
7,2,0.003808951045556982
7,3,0.0010876349931756406
7,4,0.018388007012419365
7,5,0.0054065287631043625
7,6,0.15679990008440453
7,7,0.2358815973905889
7,8,0.01862693549604909
7,9,2.429919384005825e-12
7,10,0.0007573316254030812
7,11,0.02311427501879607
7,12,7.563929283949643e-07
7,13,3.2639317589826336e-06
7,14,0.0004813381753694757
7,15,0.047271837524928195
7,16,0.008998726570857409
7,17,0.0005503508747782636
7,18,8.019785058248851e-06
7,19,1.1690694061120592e-16
7,20,0.0001645118499613691
7,21,0.0010019549975681667
7,22,1.9690061116288687e-11
7,23,0.00011709605424798225
7,24,0.037836107829026716
7,25,0.00024844023620119044
7,26,1.53792156655052e-14
7,27,3.009743785820718e-11
7,28,0.0028122509735533925
7,29,1.6453736081839592e-07
7,30,0.05042368799039832
7,31,0.004037512271470466
7,32,0.0033043710208845297
7,33,0.053915377080667515
7,34,0.007860263634760792
7,35,4.8494809550581526e-05
7,36,6.579460250313023e-17
7,37,2.192051637655696e-19
7,38,0.0011200516526257281
7,39,0.022594610020678103
8,0,0.008819354484033357
8,1,0.0546690961561993
8,2,0.01033039577263581
8,3,0.0029082462213974583
8,4,9.079814719411931e-05
8,5,0.024085190035215028
8,6,0.2434653277631293
8,7,0.03676948191581968
8,8,0.0007392726668554676
8,9,0.03986099218365248
8,10,0.012321682738837691
8,11,0.03503589686818
8,12,2.513939484289086e-05
8,13,0.02300679999326234
8,14,0.040441756692324894
8,15,0.1388227255756261
8,16,0.05143665107195867
8,17,0.11311027596068125
8,18,4.3806595520580747e-13
8,19,0.048558346157981144
8,20,7.651297454983053e-08
8,21,0.03096724747020086
8,22,0.00029846029339542114
8,23,5.6337760843086e-05
8,24,0.1479910931252396
8,25,0.028103234617599823
8,26,5.0314964055445756e-14
8,27,9.359682897931198e-08
8,28,0.0005637468383794052
8,29,0.05515969938381964
8,30,0.014800167074643078
8,31,7.562462612662646e-16
8,32,0.02361855012817711
8,33,0.0008327818645695666
8,34,0.04030481858043984
8,35,0.0059270328554544074
8,36,2.4408816071468136e-07
8,37,2.4674052938837354e-19
8,38,0.0017895888283768343
8,39,0.12239152407996771
9,0,0.015014069180795125
9,1,0.05798283753839293
9,2,0.007511367579528953
9,3,0.021025767888462516
9,4,0.00555413716949348
9,5,0.04176324128028259
9,6,0.1832039902605431
9,7,0.010990053711214962
9,8,0.00016909127471607867
9,9,0.005262032397713227
9,10,0.0007815417346452809
9,11,2.4433356687197842e-08
9,12,0.03403515202385595
9,13,0.026953477347946817
9,14,4.111228917174739e-05
9,15,0.07475085010531615
9,16,0.011178555839677577
9,17,0.03629387041257605
9,18,3.845926755001924e-06
9,19,0.00045735624449463473
9,20,2.7060913797732886e-13
9,21,0.02330285669948908
9,22,3.8221845738982745e-06
9,23,1.6154451255090382e-11
9,24,0.0037941578790389595
9,25,2.8547778241460527e-14
9,26,0.021732358911072825
9,27,2.6137830305578632e-12
9,28,0.15137242177028182
9,29,8.475571189166047e-08
9,30,0.010625754998137072
9,31,1.2843976066871964e-18
9,32,0.03426052150376059
9,33,0.10133761050723619
9,34,0.07526411452633462
9,35,7.355179007355946e-07
9,36,8.795117162435279e-05
9,37,4.192559652605531e-40
9,38,0.000271521410478281
9,39,0.05125496870081445
10,0,0.001796893051503945
10,1,0.07493411276906685
10,2,0.0002161954483340239
10,3,0.005182420893272125
10,4,0.0014619601380170062
10,5,0.0018690029719210252
10,6,0.2822521027734209
10,7,0.011145162178651077
10,8,0.051510976555345596
10,9,5.898686726193618e-05
10,10,8.255697440633116e-05
10,11,0.01645004600618136
10,12,3.102455935155654e-07
10,13,0.0011173726686220834
10,14,0.052087739974510605
10,15,0.039417322441191276
10,16,0.03567486008559589
10,17,2.8782362425520675e-08
10,18,1.7658444447238006e-06
10,19,0.0016842964487110829
10,20,1.817981781041896e-11
10,21,0.030612108077471695
10,22,5.995089783489991e-05
10,23,0.0036103488214738045
10,24,4.977168687173773e-06
10,25,1.2360246905372421e-17
10,26,0.021238939687198123
10,27,1.978060553937075e-06
10,28,3.586679040139463e-07
10,29,3.473322904254056e-06
10,30,0.12987089802989304
10,31,2.7262180873163913e-59
10,32,1.648349596855117e-05
10,33,0.01820152085746406
10,34,0.024345439461497552
10,35,4.871110594137401e-14
10,36,4.6710201598457913e-07
10,37,0.06198828894157187
10,38,0.005985432064839706
10,39,0.11167459715923252
11,0,0.00648018298841503
11,1,0.05628992015467786
11,2,0.0484398956057635
11,3,0.012020014504406923
11,4,0.00033795840060938103
11,5,0.02908020949439117
11,6,0.17955664818603367
11,7,0.06491369403005749
11,8,0.037891557573267495
11,9,5.12785901200141e-05
11,10,0.031801679500371854
11,11,0.012582484654174008
11,12,0.00527108935234039
11,13,0.0013096602957450739
11,14,6.660784411072187e-08
11,15,0.0016483422945148996
11,16,0.01790768417844118
11,17,6.893720001419612e-12
11,18,0.0015261023222341017
11,19,0.003252906796050002
11,20,1.1072649686390735e-08
11,21,0.0157084913604208
11,22,0.00011581082740694193
11,23,5.47579035086833e-31
11,24,0.05754636731897506
11,25,0.00047528502266974747
11,26,0.023334543533817833
11,27,0.01279667073883586
11,28,0.055593233704913765
11,29,2.7612904956921276e-06
11,30,0.07665610261287008
11,31,6.852360028964973e-05
11,32,0.017024904849122516
11,33,0.003052781095072262
11,34,0.028543744127111016
11,35,4.239047851815651e-10
11,36,0.0026072379710587114
11,37,6.938609965900358e-11
11,38,0.04639340783815212
11,39,0.012081485370865187
12,0,0.0056842071724380935
12,1,0.14961061629919187
12,2,0.007864837221582325
12,3,0.0014556827568094307
12,4,0.00280700206987127
12,5,0.014052040296725523
12,6,0.23218881466340585
12,7,0.01173745599386606
12,8,0.029528053660848413
12,9,0.0011800315403132306
12,10,0.05435545970897348
12,11,1.1887447661762492e-05
12,12,0.017053166921357558
12,13,0.023925297706398608
12,14,0.007067333283393677
12,15,0.01991024107530693
12,16,0.002174997886699674
12,17,0.025810147645525514
12,18,0.04293437701505862
12,19,0.0070280270571061974
12,20,0.034033497516890235
12,21,9.770373065263848e-06
12,22,1.5467815668366996e-05
12,23,1.8247605883499637e-08
12,24,0.0007153525544929348
12,25,0.0016535417282110834
12,26,0.002926338028297865
12,27,2.5151481876921206e-06
12,28,0.0058460232371920955
12,29,0.008153903552326284
12,30,0.017867973656287495
12,31,7.974043291257019e-13
12,32,0.018086428988833114
12,33,0.019249500902053233
12,34,0.0024620803162792053
12,35,1.7506530210319318e-08
12,36,0.0038058289358742837
12,37,0.02584463286174678
12,38,1.2813234074357612e-06
12,39,0.00524869293760179
13,0,0.0002948765390773292
13,1,0.020978097533049127
13,2,0.02383792028560796
13,3,0.010637599919142753
13,4,1.5021880350499088e-07
13,5,0.07497268118562012
13,6,0.13414649420884198
13,7,0.05561696271815018
13,8,0.00415196431908305
13,9,0.0153304559299694
13,10,0.007414141676528839
13,11,1.4502314482419568e-05
13,12,4.444168379132297e-06
13,13,0.00013448276280227396
13,14,0.002557982554598466
13,15,0.05074737254951405
13,16,0.004737148412069832
13,17,0.032386533073826454
13,18,2.6174367615554686e-10
13,19,1.6372457263049035e-11
13,20,1.1302207517409402e-22
13,21,0.0002364311076655835
13,22,0.007283323289487773
13,23,1.3523409704942952e-21
13,24,0.003495584278729812
13,25,5.77835921506063e-19
13,26,1.3733918278389958e-19
13,27,0.022146789345417986
13,28,6.1824282264539e-05
13,29,7.561833019126665e-07
13,30,0.11504395215510975
13,31,1.784200455127773e-18
13,32,1.0673844089272241e-10
13,33,0.05121692363783264
13,34,0.038016270941036545
13,35,0.0008330246126520252
13,36,9.322700199170207e-24
13,37,1.4943456835006138e-09
13,38,0.0002778768688612868
13,39,0.038784125151687866
14,0,0.015906643264807313
14,1,0.05656473591771238
14,2,0.011079574985767856
14,3,0.004299684410345989
14,4,0.026138438038315653
14,5,0.011873985184560858
14,6,0.15945906309296684
14,7,0.02532843985777787
14,8,0.05025220196966523
14,9,3.081228963004072e-06
14,10,0.008168397201727781
14,11,0.0008887779198982816
14,12,9.457504175147422e-10
14,13,0.05150181379002083
14,14,0.000185168310526784
14,15,0.02025693202041663
14,16,0.009830461630338506
14,17,7.9708850253062e-05
14,18,0.0015165190330836266
14,19,0.0038767414081545934
14,20,1.1261066759974397e-12
14,21,0.0031037760441016736
14,22,2.989006470784057e-06
14,23,0.004043448155076777
14,24,0.05489252740996064
14,25,2.499739918629857e-09
14,26,4.439697927250458e-13
14,27,2.8030967162308968e-06
14,28,0.00012438236088807024
14,29,1.0827915116559883e-09
14,30,0.08490469172695414
14,31,4.22684514320581e-05
14,32,1.1937780878194432e-05
14,33,0.1570836273814663
14,34,0.0002585064710950707
14,35,8.047825766273686e-14
14,36,5.031982679940525e-15
14,37,1.1646973042697298e-15
14,38,1.7252010282677967e-08
14,39,0.04549998027952336
15,0,0.009926805551767557
15,1,0.011777699109956163
15,2,0.031251136926481626
15,3,0.0008276934939491551
15,4,0.0021607010258437235
15,5,4.631104700495722e-05
15,6,0.2739587828967567
15,7,0.013565211871191467
15,8,0.0023461182380042174
15,9,3.137249012864469e-05
15,10,0.011507387754568329
15,11,0.08818186585868086
15,12,2.742733121458581e-09
15,13,6.53545474579558e-07
15,14,0.0008662317693100515
15,15,0.0017552612917692307
15,16,0.00021332413499797843
15,17,0.00015983534284201776
15,18,5.3316036895642966e-20
15,19,2.54447285563289e-07
15,20,1.308795605853626e-07
15,21,0.09400210702709319
15,22,3.4596152168296524e-05
15,23,3.645883518108077e-15
15,24,0.0001762307090573297
15,25,1.2394646056857125e-06
15,26,0.0021506588141073047
15,27,9.068984154077798e-15
15,28,0.0007964308412275661
15,29,1.6748895497009444e-11
15,30,0.04150486523145673
15,31,2.283591443649678e-20
15,32,0.031475230912821825
15,33,0.028507505209177008
15,34,0.0007031908726082796
15,35,5.821353927181597e-17
15,36,6.766421398394279e-10
15,37,0.021212091584751798
15,38,4.108858688439226e-12
15,39,0.03153190456350687
16,0,0.01158840659714473
16,1,0.0042634002197825815
16,2,0.011340161079933794
16,3,0.001398129552898101
16,4,4.531093104723064e-09
16,5,0.004378853442909651
16,6,0.053870746904330385
16,7,0.0165441968545017
16,8,0.03559839703375109
16,9,0.00031471593030533583
16,10,0.05473833118036663
16,11,0.0027916944244422395
16,12,0.008198149418018937
16,13,1.373086915053168e-07
16,14,0.017278182775205094
16,15,0.09936678442880863
16,16,0.005778723577639239
16,17,0.034508145753047836
16,18,0.012044575688412645
16,19,1.0134156385034086e-43
16,20,3.555735814245889e-05
16,21,6.23430640906304e-05
16,22,7.58091254723903e-10
16,23,1.5061828435998907e-26
16,24,0.019666233218223608
16,25,0.000493432335405059
16,26,0.02546429535468733
16,27,1.3365916097054008e-06
16,28,1.588202333022954e-06
16,29,0.004517147377648327
16,30,0.04777674285927746
16,31,1.219001692056193e-19
16,32,0.039371746392506665
16,33,0.1084012838492452
16,34,0.01517956564326872
16,35,3.36542343872049e-21
16,36,2.602845177835941e-10
16,37,1.3703797009532458e-14
16,38,1.7804981890354562e-06
16,39,0.09596127996612791
17,0,0.04152911347659746
17,1,0.03327418915663377
17,2,2.242408468024557e-05
17,3,0.005247371762050905
17,4,7.003183831091083e-07
17,5,0.1260566305635329
17,6,0.16745084063049057
17,7,0.021178701263465452
17,8,0.03329218500617382
17,9,0.0014731300489700145
17,10,0.005098269550508087
17,11,0.0015970088333779975
17,12,6.890649913342137e-05
17,13,0.029140829849065897
17,14,0.00690647859963618
17,15,0.003733161016765054
17,16,0.02218416042132652
17,17,4.6319604260025673e-10
17,18,5.541380232946389e-08
17,19,2.246577039247929e-11
17,20,0.0005531076930155469
17,21,7.5253942914916e-05
17,22,3.584063831404128e-05
17,23,0.0008997909070485142
17,24,0.0005359916058137278
17,25,9.904185320128531e-05
17,26,5.2439417604508834e-11
17,27,2.521051522184238e-05
17,28,2.919839588470663e-05
17,29,0.017527845326278317
17,30,0.0175311485142534
17,31,1.6414604800886563e-06
17,32,0.04194881641455245
17,33,0.1035652834884978
17,34,0.004017614157778737
17,35,0.0070858395880645615
17,36,0.002553049403419469
17,37,1.1241329319265555e-06
17,38,6.41894050210864e-17
17,39,0.0074839169576430015
18,0,0.03569640152751238
18,1,0.011672274306001935
18,2,4.338683690450452e-05
18,3,0.002589156963198933
18,4,0.0009219878229540242
18,5,0.08076581090651296
18,6,0.08120057822082133
18,7,0.0561406410797798
18,8,0.018002674223671813
18,9,3.906297351294702e-21
18,10,0.001592720019549684
18,11,1.974750889263902e-05
18,12,0.006849591299244572
18,13,1.6152806535810572e-07
18,14,0.0015022628928872545
18,15,0.048365592696157304
18,16,0.0013392249809190606
18,17,0.011932274838176602
18,18,0.014674602179547884
18,19,0.004793792258616502
18,20,6.1292180568589036e-15
18,21,1.9074739938398314e-05
18,22,1.3258970476737188e-33
18,23,7.150585930793605e-05
18,24,1.0349704745043791e-08
18,25,1.926066270510219e-12
18,26,7.603160831535341e-16
18,27,0.0016071222225217724
18,28,0.048232762053887074
18,29,0.011167213843503537
18,30,0.13154676379632538
18,31,0.0001046577181434744
18,32,2.0238844894396326e-05
18,33,0.020527823289474074
18,34,0.017908277243205355
18,35,0.010189032739635217
18,36,1.7249118823671195e-10
18,37,0.0397264459746025
18,38,0.01427052718820232
18,39,0.003157601476682298
19,0,0.07968003411134114
19,1,0.15617138083342985
19,2,0.018511217860144324
19,3,0.03450000634136173
19,4,0.00038645281625848205
19,5,0.009417156030981614
19,6,0.08243159159531184
19,7,0.013333260978385945
19,8,0.0004838671779355741
19,9,1.2051625626228863e-05
19,10,8.072623787524547e-05
19,11,4.157566572026957e-06
19,12,3.237764967230734e-05
19,13,0.00013266550730924972
19,14,0.0029108899830188628
19,15,0.018838765999712754
19,16,0.023621049009842198
19,17,2.7971237962793076e-10
19,18,1.2327100075405298e-05
19,19,1.4289303584933636e-23
19,20,6.966732268030211e-05
19,21,0.01060321105033086
19,22,1.8438594418986596e-23
19,23,2.3091886831618246e-09
19,24,0.08635825012440873
19,25,1.0158632459055236e-05
19,26,7.045485261470705e-52
19,27,3.6905241984724705e-16
19,28,0.0644059186883262
19,29,2.2201320749408806e-06
19,30,0.11851196901531706
19,31,6.050827492858289e-30
19,32,0.005068214829793872
19,33,0.05023441211944413
19,34,0.047039445489452845
19,35,1.5162619413427091e-05
19,36,4.875771550273248e-11
19,37,1.0384129345510377e-15
19,38,0.0061931736900676
19,39,0.14316290153546982
20,0,0.004620066054410523
20,1,0.021914728363511743
20,2,0.00020195311757057073
20,3,0.09079693138172944
20,4,0.0005022766527872226
20,5,0.022532056908681958
20,6,0.058052195776473026
20,7,0.001465763654240587
20,8,0.025566672451453845
20,9,0.00903310967085817
20,10,0.0004373212775547378
20,11,9.297487780470061e-05
20,12,0.06740541075700456
20,13,0.0006146767068652416
20,14,0.037029905338627066
20,15,0.056220069987698906
20,16,0.014715748250057531
20,17,4.902923273423974e-06
20,18,0.009396283227539824
20,19,0.016606538516307865
20,20,3.0032646922985914e-05
20,21,0.0024450519358047455
20,22,7.4733859418919715e-06
20,23,9.246236864629309e-24
20,24,2.855912574464476e-06
20,25,0.003016049161465053
20,26,0.008725273483508074
20,27,0.0033775456110304134
20,28,0.002020739678715703
20,29,0.01111433954945073
20,30,0.017647740560148676
20,31,7.141475226240695e-06
20,32,9.063402561508151e-05
20,33,0.09470881627348313
20,34,0.008797193756609437
20,35,8.032062194585654e-08
20,36,2.6499361370188703e-09
20,37,1.2537368145133717e-05
20,38,1.141287398591824e-06
20,39,0.01851313879008027
21,0,0.011765601512734257
21,1,0.1621787114488504
21,2,0.001420864656050605
21,3,0.02735992954437946
21,4,7.348778715199841e-06
21,5,0.000291872612372984
21,6,0.0795123117288845
21,7,0.026485434829467684
21,8,5.2197917429719496e-05
21,9,8.87945615668265e-06
21,10,0.0011718701382215507
21,11,5.738562971074734e-09
21,12,5.518159716173466e-14
21,13,0.005779259774651779
21,14,0.032762325261474295
21,15,0.030875327983730282
21,16,0.001090945625676542
21,17,0.015877729119435316
21,18,0.0006001464121202113
21,19,2.2137312553367113e-10
21,20,2.694183084877254e-10
21,21,0.01242502866117897
21,22,4.670437613177986e-08
21,23,2.009056306676149e-07
21,24,0.06677434599898342
21,25,0.015457868254960016
21,26,1.5339858035759246e-23
21,27,0.0012632433436568522
21,28,0.02409721897827047
21,29,4.453965693973176e-09
21,30,0.035943830177082955
21,31,2.6039377856873425e-08
21,32,0.11966903093861309
21,33,0.03224816688653228
21,34,0.10724311164882662
21,35,0.00011929960282313836
21,36,3.787568075455355e-09
21,37,2.756274914413143e-12
21,38,3.1851174075578195e-05
21,39,0.055786814358058906
22,0,0.04477595098795779
22,1,0.10687274166929141
22,2,0.028457036488409502
22,3,0.002708535985355037
22,4,0.002212249286013368
22,5,0.032656294569475955
22,6,0.03392962965038156
22,7,0.005285537612915246
22,8,0.027327515682806967
22,9,2.0618380633317904e-10
22,10,0.0164327338024907
22,11,0.007678765426348075
22,12,0.0077530469162358
22,13,0.004425996775859547
22,14,0.017539190747014703
22,15,0.05633120038797907
22,16,0.022962114909361654
22,17,0.05437919695496184
22,18,1.9046538269435816e-05
22,19,2.0322607385317914e-10
22,20,1.2901147348529264e-18
22,21,0.00327220570575253
22,22,0.017446886118332235
22,23,5.673130616976881e-06
22,24,0.2327821239024134
22,25,0.00014404096055691982
22,26,3.3519563574278354e-08
22,27,2.6909452140993885e-05
22,28,0.005694173895181855
22,29,0.0021251847034752832
22,30,0.011166694739244455
22,31,0.00047086274624385545
22,32,3.8745156652140887e-07
22,33,0.04462201283618809
22,34,0.0876463192292198
22,35,6.373233429396611e-14
22,36,3.5365097298496142e-12
22,37,9.441484743706308e-07
22,38,1.206502656880743e-07
22,39,0.08713314112913856
23,0,0.03285649050818069
23,1,0.0779852027726128
23,2,0.00208600964846491
23,3,0.04916150394142987
23,4,0.0010494845582305508
23,5,0.03591672125594316
23,6,0.12253816605318804
23,7,0.06638131798829364
23,8,0.015057242305030158
23,9,3.377583006236437e-17
23,10,0.043511543298200187
23,11,0.0019159677937654884
23,12,0.04444023314141223
23,13,0.026836790045684532
23,14,0.00014943080841756345
23,15,0.012340664986754709
23,16,0.02221222017326331
23,17,1.8570300672201638e-05
23,18,0.008430998998968127
23,19,4.729206174025958e-06
23,20,4.8475099206669415e-05
23,21,0.00041578485627563854
23,22,0.010343348549382153
23,23,0.0042977318832647295
23,24,0.0003402225874635274
23,25,0.00018651603441255057
23,26,2.1421888588592446e-09
23,27,7.329469942959419e-21
23,28,0.01730811952228314
23,29,0.00015320210414670115
23,30,0.15050098735334466
23,31,2.0276485222542695e-05
23,32,0.00039066192131378404
23,33,0.028852838592359754
23,34,0.002763440192905873
23,35,1.044932860856182e-13
23,36,2.2218598962279923e-09
23,37,3.300583504914704e-11
23,38,2.2974297069908385e-08
23,39,0.02356207745591954
24,0,0.012728072279607308
24,1,0.030825787385409358
24,2,0.0036546675518175933
24,3,0.012266160753472762
24,4,0.012733781480431616
24,5,0.008492053040395247
24,6,0.23266568741826257
24,7,0.010140549081569689
24,8,0.009712452532800089
24,9,0.006004802753179947
24,10,0.009042870617167862
24,11,2.46385215622299e-06
24,12,0.01384029781124447
24,13,0.02834536576530623
24,14,1.4029446674237907e-09
24,15,0.04462300624267292
24,16,1.7909276825587812e-06
24,17,0.00017921653800840435
24,18,9.831536504782884e-10
24,19,0.0008120457597721951
24,20,5.559216305607193e-08
24,21,1.3401654180852077e-06
24,22,8.101982141210574e-06
24,23,1.5563786409378272e-13
24,24,0.02309978248112828
24,25,1.4614599658465123e-11
24,26,6.703017903781115e-12
24,27,9.311772877981183e-05
24,28,0.0011132334672885836
24,29,0.008004633759734
24,30,0.10459230029012026
24,31,3.7497707845747483e-23
24,32,0.0018539782249607094
24,33,0.045467958627579665
24,34,0.010935508583778054
24,35,6.212966151353622e-15
24,36,0.02440711854786711
24,37,0.00018783894025644333
24,38,0.002808551413367142
24,39,0.024165865533849223
25,0,0.03221745324256433
25,1,0.04889231081792833
